,Genre,Gross,actors,directors,producers,rel_date,title,writers
534,Romantic Comedy,92415400,Jennifer Lopez/Matthew McConaughey,Adam Shankman,Jennifer Gibgot/Gigi Pritzker,2001-01-26,The Wedding Planner,
535,Action Horror,122742900,Wesley Snipes/Donnie Yen,Guillermo del Toro,Avi Arad/Michael De Luca/David S. Goyer/Stan Lee,2002-03-22,Blade II,David S. Goyer
536,Western,4918600,Brad Pitt/Casey Affleck/Sam Rockwell/Zooey Deschanel/Jeremy Renner,Andrew Dominik,Dede Gardner/Brad Grey/Brad Pitt/Ridley Scott/Tony Scott/David Valdes,2007-09-21,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik
537,Drama,69369800,Danny Glover/Kevin Kline/Steve Martin,Lawrence Kasdan,Michael Grillo/Lawrence Kasdan,1991-12-27,Grand Canyon,Lawrence Kasdan
538,Western,1052100,Michelle Williams/Zoe Kazan/Paul Dano,Kelly Reichardt,,2011-04-08,Meek's Cutoff,
539,Romantic Comedy,259531100,Richard Gere/Julia Roberts,Garry Marshall,Ted Field/Mario Iscovich/Scott Kroopf/Gary Lucchesi/Tom Rosenberg,1999-07-30,Runaway Bride,
540,Family Comedy,110205000,Steve Martin/Bonnie Hunt/Piper Perabo/Hilary Duff,Adam Shankman,Jennifer Gibgot/Adam Shankman,2005-12-21,Cheaper by the Dozen 2,Sam Harper
541,Comedy,116738600,Tim Allen/Sigourney Weaver/Alan Rickman/Sam Rockwell/Justin Long,Dean Parisot,Mark Johnson,1999-12-25,Galaxy Quest,
542,Sci-Fi,120286300,Jude Law/William Hurt/Brendan Gleeson,Steven Spielberg,Kathleen Kennedy/Steven Spielberg,2001-06-29,A.I. Artificial Intelligence,
543,Horror,67515000,Benicio Del Toro/Anthony Hopkins/Emily Blunt/Hugo Weaving,Joe Johnston,Ryan Kavanaugh/Scott Stuber,2010-02-12,The Wolfman,Andrew Kevin Walker
544,Animation,72088900,Johnny Depp/Helena Bonham Carter,Tim Burton,Tim Burton,2005-09-16,Tim Burton's Corpse Bride,John August
545,Action,51566900,Sylvester Stallone,Sylvester Stallone,Randall Emmett/George Furla,2008-01-25,Rambo,Sylvester Stallone
546,Sports Comedy,195958500,Will Ferrell/John C. Reilly/Sacha Baron Cohen/Amy Adams/Michael Clarke Duncan,Adam McKay,Judd Apatow/Ryan Kavanaugh/Adam McKay,2006-08-04,Talladega Nights: The Ballad of Ricky Bobby,Will Ferrell/Adam McKay
547,Comedy,16646000,Michael Cera/Portia Doubleday/Zach Galifianakis/Justin Long/Rooney Mara,Miguel Arteta,,2010-01-08,Youth in Revolt,
548,Comedy / Drama,52761200,America Ferrera/Blake Lively/Mike Vogel,Ken Kwapis,Debra Martin Chase/Denise Di Novi/Alison Greenspan/Broderick Johnson/Andrew A. Kosove,2005-06-01,The Sisterhood of the Traveling Pants,Delia Ephron
549,Action,220212400,Daniel Craig/Judi Dench/Eva Green/Jeffrey Wright/Mads Mikkelsen,Martin Campbell,Barbara Broccoli/Michael G. Wilson,2006-11-17,Casino Royale,Paul Haggis/Neal Purvis/Robert Wade
