,Genre,Gross,actors,directors,producers,rel_date,title,writers
169,Drama,13200,America Ferrera/Melissa Leo/Wilmer Valderrama,Ryan Piers Williams,,2010-07-30,The Dry Land,Ryan Piers Williams
170,Family Adventure,24267400,William H. Macy/Leslie Mann/Kat Dennings,Robert Rodriguez,Dan Lin/Robert Rodriguez,2009-08-21,Shorts,Robert Rodriguez
171,Drama,19073500,Adrien Brody/Ben Affleck/Diane Lane,Allen Coulter,J. Miles Dale/Glenn Williamson,2006-09-08,Hollywoodland,
172,Family Comedy,72048700,Dennis Quaid/Rene Russo,Raja Gosnell,Robert Simonds,2005-11-23,"Yours, Mine and Ours",
173,Sports Drama,90170000,Jesse Plemons/Jon Voight/Paul Walker/Ali Larter,Brian Robbins,Brian Robbins/Michael Tollin,1999-01-15,Varsity Blues,
174,Drama / Thriller,40683200,George Clooney/Jack O'Connell/Julia Roberts,Jodie Foster,George Clooney/Grant Heslov,2016-05-13,Money Monster,
175,Action / Adventure,291650900,Andrew Garfield/Emma Stone/Rhys Ifans/Sally Field/Irrfan Khan,Marc Webb,Avi Arad/Michael Grillo/Stan Lee/Laura Ziskin,2012-07-03,The Amazing Spider-Man,Steve Kloves/Alvin Sargent/James Vanderbilt
176,Thriller,61922600,Ashley Judd/Morgan Freeman/James Caviezel/Amanda Peet/Adam Scott,Carl Franklin,Arnon Milchan,2002-04-05,High Crimes,
177,Action,174375100,Tommy Lee Jones,Andrew Davis,Gary W. Goldstein/Arnon Milchan,1992-10-09,Under Siege,J.F. Lawton
178,Music Drama,52223100,Billy Crudup/Frances McDormand/Kate Hudson/Zooey Deschanel/Philip Seymour Hoffman/Anna Paquin,Cameron Crowe,Ian Bryce,2000-09-15,Almost Famous,Cameron Crowe
179,Drama,623000,Jessica Chastain/James McAvoy/William Hurt/Viola Davis,Ned Benson,Ned Benson,2014-09-12,The Disappearance of Eleanor Rigby,Ned Benson
180,Unknown,67100,Jared Harris/Jonathan Rhys Meyers,Michael Radford,,1999-09-10,B. Monkey,
181,Crime Drama,27659100,John Cusack/Annette Bening,Stephen Frears,Martin Scorsese,1990-12-07,The Grifters,
182,Foreign,8275100,Gael Garcia Bernal,Alejandro González Iñárritu,Alejandro González Iñárritu,2001-03-30,Amores Perros,Guillermo Arriaga
183,Family Adventure,228490100,"Sarah Michelle Gellar/Freddie Prinze, Jr./Matthew Lillard/Isla Fisher",Raja Gosnell,Charles Roven,2002-06-14,Scooby-Doo,James Gunn
184,Comedy,57391900,Zachary Gordon,David Bowers,Nina Jacobson,2011-03-25,Diary of a Wimpy Kid: Rodrick Rules,
185,Action Comedy,9059100,Rosamund Pike/Gillian Anderson,Oliver Parker,Tim Bevan/Eric Fellner,2011-10-21,Johnny English Reborn,
186,Thriller,5304500,Robert Redford/Shia LaBeouf/Sam Elliott/Brendan Gleeson/Terrence Howard/Anna Kendrick/Brit Marling/Stanley Tucci/Chris Cooper/Susan Sarandon,Robert Redford,Robert Redford,2013-04-05,The Company You Keep,Lem Dobbs
187,Comedy,76396400,Ashton Kutcher/Natalie Portman/Kevin Kline/Cary Elwes/Greta Gerwig/Lake Bell/Olivia Thirlby/Chris 'Ludacris' Bridges/Jake Johnson/Mindy Kaling,Ivan Reitman,Gary Barber/Roger Birnbaum/Jonathan Glickman/Joe Medjuck/Tom Pollock/Natalie Portman/Ivan Reitman,2011-01-21,No Strings Attached,Elizabeth Meriwether
188,Period Drama,11001600,Ian McKellen/Brendan Fraser,Bill Condon,,1998-11-06,Gods and Monsters,Bill Condon
189,Comedy / Drama,700800,Sharlto Copley/Charlie Day/Anna Kendrick/John Krasinski/Mary Elizabeth Winstead,John Krasinski,,2016-08-26,The Hollars,
190,Comedy,87256900,Cameron Diaz/Leslie Mann/Kate Upton/Nicki Minaj,Nick Cassavetes,Julie Yorn,2014-04-25,The Other Woman,Melissa Stack
191,Fantasy Comedy,126454000,Steve Carell/Morgan Freeman/Jonah Hill,Tom Shadyac,Gary Goetzman/Gary Barber/Roger Birnbaum/Michael Bostick/Neal H. Moritz/Tom Shadyac/Tom Hanks,2007-06-22,Evan Almighty,Steve Oedekerk/Joel Cohen/Alec Sokolow
192,Action Comedy,73050300,Gerard Butler/Jennifer Aniston/Jason Sudeikis,Andy Tennant,Ryan Kavanaugh/Neal H. Moritz,2010-03-19,The Bounty Hunter,
193,Action Thriller,10924800,Arnold Schwarzenegger/Sam Worthington/Terrence Howard/Mireille Enos,David Ayer,David Ayer/Joe Roth/Skip Woods,2014-03-28,Sabotage,David Ayer/Skip Woods
194,Animation,160459600,Will Ferrell/Brad Pitt/Tina Fey/Jonah Hill,Tom McGrath,Lara Breay/Denise Nolan Cascino/Ben Stiller,2010-11-05,Megamind,
195,Animation,110142500,James McAvoy/Emily Blunt,Kelly Asbury,,2011-02-11,Gnomeo and Juliet,
196,Foreign / Action,110500,Seu Jorge,Jose Padilha,Jose Padilha,2011-11-11,Elite Squad: The Enemy Within,Jose Padilha
197,Drama,15255800,Danny Glover,Gina Prince-Bythewood,Stephanie Allain/Matt Alvarez/Ryan Kavanaugh/Tucker Tooley,2014-11-14,Beyond the Lights,Gina Prince-Bythewood
198,Action Thriller,82518800,Marion Cotillard/Matt Damon/Laurence Fishburne/Jude Law/Gwyneth Paltrow/Kate Winslet/Bryan Cranston/Sanaa Lathan,Steven Soderbergh,Gregory Jacobs/Michael Shamberg/Stacey Sher/Jeff Skoll/Steven Soderbergh,2011-09-09,Contagion,Scott Z. Burns
199,Fantasy Comedy,16123100,Ricky Gervais/Greg Kinnear/Tea Leoni/Kristen Wiig,David Koepp,Gary Barber/Roger Birnbaum/Gavin Polone,2008-09-19,Ghost Town,David Koepp
200,Family Adventure,81348400,Ben Kingsley/Chloe Moretz/Sacha Baron Cohen/Jude Law,Martin Scorsese,Johnny Depp/Tim Headington/Graham King/Martin Scorsese,2011-11-23,Hugo,John Logan
201,Fantasy Drama,11300,Anthony Hopkins/Michael Clarke Duncan,Anthony Hopkins/Steven Lisberger,,2007-10-26,Slipstream,Anthony Hopkins
202,Thriller,20359800,Sam Worthington/Elizabeth Banks/Jamie Bell/Ed Harris/Edward Burns/Anthony Mackie,Asger Leth,Lorenzo di Bonaventura/Mark Vahradian,2012-01-27,Man on a Ledge,Pablo F. Fenjves
203,Western,378435900,Kevin Costner,Kevin Costner,Kevin Costner/Jim Wilson,1990-11-09,Dances with Wolves,
204,Drama,12752100,Morris Chestnut/Taraji P. Henson/Kevin Hart,Bill Duke,T.D. Jakes,2009-01-09,Not Easily Broken,
205,Fantasy,367552500,Daniel Radcliffe/Rupert Grint/Emma Watson/Ralph Fiennes/Gary Oldman/Imelda Staunton,David Yates,David Heyman,2007-07-11,Harry Potter and the Order of the Phoenix,Michael Goldenberg
206,Fantasy Drama,6175200,Gael Garcia Bernal,Michel Gondry,,2006-09-22,The Science of Sleep,
207,Horror,48444800,Sam Rockwell/Rosemarie DeWitt/Jared Harris,Gil Kenan,Roy Lee/Sam Raimi,2015-05-22,Poltergeist,David Lindsay-Abaire
208,Comedy,493000,John C. Reilly/Jenna Fischer,Steve Conrad,,2008-06-06,The Promotion,Steve Conrad
209,Action / Adventure,422680300,"Robert Downey, Jr./Gwyneth Paltrow/Don Cheadle/Guy Pearce/Rebecca Hall/Jon Favreau/Ben Kingsley",Shane Black,Victoria Alonso/Louis D'Esposito/Jon Favreau/Kevin Feige/Alan Fine/Stan Lee/Dan Mintz,2013-05-03,Iron Man 3,Shane Black/Drew Pearce
210,War Drama,1053400,Tobey Maguire/Jeffrey Wright/James Caviezel,Ang Lee,Ted Hope,1999-11-26,Ride with the Devil,
211,Period Horror,159251300,Joaquin Phoenix/Bryce Dallas Howard/Adrien Brody/Sigourney Weaver/Brendan Gleeson/Jesse Eisenberg,M. Night Shyamalan,Sam Mercer/Scott Rudin/M. Night Shyamalan,2004-07-30,The Village,M. Night Shyamalan
212,Drama / Thriller,117037500,Natalie Portman/Mila Kunis/Winona Ryder,Darren Aronofsky,Brad Fischer/Ari Handel,2010-12-03,Black Swan,Mark Heyman/John J. McLaughlin
213,Action Comedy,14663700,Kristen Bell/Bradley Cooper/Tom Arnold,David Palmer,Andrew Panay,2012-08-22,Hit and Run,
214,Drama,362803700,Tom Hanks/Helen Hunt,Robert Zemeckis,Tom Hanks,2000-12-22,Cast Away,
215,Crime Drama,18610400,Laura Linney/Ian McKellen,Bill Condon,,2015-07-17,Mr. Holmes,
216,Animation,154369300,Anne Hathaway/Jesse Eisenberg/Leslie Mann/Jamie Foxx,Carlos Saldanha,Bruce Anderson/John C. Donkin,2011-04-15,Rio,Sam Harper/Don Rhymer/Carlos Saldanha/Joshua Sternin/Jeffrey Ventimilia
217,Comedy,7500,Melissa McCarthy,Tate Taylor,Brunson Green/Tate Taylor,2009-09-18,Pretty Ugly People,Tate Taylor
218,Foreign,16499400,Penelope Cruz,Pedro Almodovar,,2006-11-03,Volver,Pedro Almodovar
219,Music Drama,21316500,Boris Kodjoe/Idris Elba,Rob Hardy,Will Packer,2005-10-07,The Gospel,Rob Hardy
220,Action Comedy,51262800,Katherine Heigl/Ashton Kutcher/Rob Riggle,Robert Luketic,Scott Aversano,2010-06-04,Killers,Ted Griffin
221,Music Drama,41855000,50 Cent/Terrence Howard/Viola Davis,Jim Sheridan,Daniel Lupi/Heather Parry,2005-11-09,Get Rich or Die Tryin',
222,Horror,78116900,Jessica Chastain,Andres Muschietti,J. Miles Dale/Guillermo del Toro/Barbara Muschietti,2013-01-18,Mama,Neil Cross/Andres Muschietti/Barbara Muschietti
223,Comedy,14904800,Billy Crystal,Michael Lehman,,1998-04-10,My Giant,David Seltzer
224,Drama,27921300,Liam Neeson/Dan Stevens/Boyd Holbrook,Scott Frank,Danny DeVito/Michael Shamberg/Stacey Sher,2014-09-19,A Walk Among the Tombstones,Scott Frank
225,Crime Thriller,94464400,Clint Eastwood/Ed Harris/Laura Linney,Clint Eastwood,Clint Eastwood,1997-02-14,Absolute Power,
226,Drama,185298700,Emma Stone/Bryce Dallas Howard/Mike Vogel/Jessica Chastain/Viola Davis,Tate Taylor,Chris Columbus/Brunson Green/Jeff Skoll/Tate Taylor,2011-08-10,The Help,Tate Taylor
227,Comedy,22064300,Forest Whitaker/America Ferrera/Carlos Mencia,Rick Famuyiwa,,2010-03-12,Our Family Wedding,
228,Comedy,188000,Brad Pitt,Tom DiCillo,,1992-08-14,Johnny Suede,Tom DiCillo
229,Sci-Fi Action,109343800,Daniel Craig/Harrison Ford/Olivia Wilde/Sam Rockwell/Paul Dano,Jon Favreau,Bobby Cohen/Brian Grazer/Ron Howard/Ryan Kavanaugh/Alex Kurtzman/Damon Lindelof/Roberto Orci/Scott Mitchell Rosenberg/Steven Spielberg/Denis L. Stewart,2011-07-29,Cowboys & Aliens,Mark Fergus/Alex Kurtzman/Damon Lindelof/Roberto Orci/Hawk Ostby
230,Comedy,1079800,Adam Brody/Greta Gerwig/Analeigh Tipton,Whit Stillman,Whit Stillman,2012-04-06,Damsels in Distress,Whit Stillman
231,Action / Crime,82652600,Lucas Black/Bow Wow,Justin Lin,Ryan Kavanaugh/Neal H. Moritz/Clayton Townsend,2006-06-16,The Fast and the Furious: Tokyo Drift,Chris Morgan
232,Crime,5052100,,Neil Jordan,John Wells,2003-04-02,The Good Thief,
233,Drama,137100,Andrew Garfield,John Crowley,,2008-07-23,Boy A,
234,Crime Drama,44336000,Laurence Fishburne/Queen Latifah,Bill Duke,Bill Duke,1997-08-29,Hoodlum,
235,Drama,2109100,Marion Cotillard/Joaquin Phoenix/Jeremy Renner,James Gray,James Gray/Greg Shapiro,2014-05-16,The Immigrant,James Gray/Ric Menello
236,Action Comedy,302018100,Mel Gibson/Danny Glover/Rene Russo,Richard Donner,Joel Silver,1992-05-15,Lethal Weapon 3,Robert Mark Kamen
237,Crime Drama,41556200,Shia LaBeouf/Tom Hardy/Gary Oldman/Jessica Chastain/Mia Wasikowska/Guy Pearce,John Hillcoat,Megan Ellison,2012-08-29,Lawless,Nick Cave
238,Horror,29982800,Johnny Depp/Frank Langella,Roman Polanski,Roman Polanski,2000-03-10,The Ninth Gate,Roman Polanski
239,Historical Drama,15006600,Sigourney Weaver/Frank Langella,Ridley Scott,Ridley Scott,1992-10-09,1492: Conquest of Paradise,
240,War Drama,8530600,Tommy Lee Jones/Susan Sarandon/Charlize Theron/Josh Brolin/Zoe Kazan,Paul Haggis,,2007-09-14,In the Valley of Elah,Mark Boal/Paul Haggis
241,Crime Drama,174245900,Leonardo DiCaprio/Matt Damon/Jack Nicholson/Mark Wahlberg/Vera Farmiga/Alec Baldwin,Martin Scorsese,Doug Davison/Roy Lee/Graham King/Brad Pitt/Martin Scorsese/Brad Grey/Gianni Nunnari,2006-10-06,The Departed,William Monahan
242,Drama,149680000,Elizabeth Debicki/Leonardo DiCaprio/Tobey Maguire/Carey Mulligan/Isla Fisher,Baz Luhrmann,Douglas Wick,2013-05-10,The Great Gatsby,Baz Luhrmann
243,Drama,10805400,Samuel L. Jackson,Kevin Reynolds,,1997-08-01,187,
244,Drama,77124200,Sean Penn/Susan Sarandon,Tim Robbins,Tim Bevan/Eric Fellner/Jon Kilik,1995-12-29,Dead Man Walking,
245,Horror,18857500,Carrie-Anne Moss/Sean Bean/Radha Mitchell,Michael J. Bassett,Don Carmody,2012-10-26,Silent Hill: Revelation 3D,Michael J. Bassett
246,Comedy,18569600,Bill Murray/Julie Delpy/Sharon Stone/Jeffrey Wright,Jim Jarmusch,Jon Kilik,2005-08-05,Broken Flowers,Jim Jarmusch
247,Animation,178784900,Rihanna/Steve Martin/Jennifer Lopez,Tim Johnson,Mireille Soria,2015-03-27,Home,Tom J. Astle/Matt Ember
248,War,89561800,Brad Pitt/Logan Lerman/Shia LaBeouf,David Ayer,David Ayer/Brad Pitt,2014-10-17,Fury,David Ayer
249,Horror,13218700,Kodi Smit-McPhee/Chloe Moretz,Matt Reeves,,2010-10-01,Let Me In,Matt Reeves
250,Action Thriller,89565200,Owen Wilson,John Moore,John Davis/Wyck Godfrey,2001-11-30,Behind Enemy Lines,Zak Penn
251,Crime Comedy,17462600,Seth Green/Vin Diesel/John Malkovich,Brian Koppelman/David Levien,Lawrence Bender/Michael De Luca/Brian Koppelman/David Levien,2002-10-11,Knockaround Guys,Brian Koppelman/David Levien
252,Fantasy,24327000,Marlon Wayans,Courtney Solomon,Thomas M. Hammel/Joel Silver,2000-12-08,Dungeons & Dragons,
253,Action / Adventure,309859400,Hugh Jackman/Halle Berry/Ian McKellen/Famke Janssen/Anna Paquin/Kelsey Grammer/Rebecca Romijn/James Marsden/Patrick Stewart,Brett Ratner,Avi Arad/Lauren Schuler Donner/Kevin Feige/Stan Lee/Ralph Winter,2006-05-26,X-Men: The Last Stand,Simon Kinberg/Zak Penn
254,Comedy,160484200,Ben Stiller/Robert DeNiro/Dustin Hoffman/Barbra Streisand/Owen Wilson/Jessica Alba,Paul Weitz,Ryan Kavanaugh/Daniel Lupi,2010-12-22,Little Fockers,
255,Historical Drama,516357200,Monica Bellucci/James Caviezel,Mel Gibson,,2004-02-25,The Passion of the Christ,
256,Drama,446200,Brit Marling,Zal Batmanglij,Brit Marling,2012-04-27,Sound of My Voice,Zal Batmanglij/Brit Marling
257,Animation,390463000,Billy Crystal,Pete Docter/David Silverman/Lee Unkrich,Darla K. Anderson/John Lasseter,2001-11-02,"Monsters, Inc.",Pete Docter/Daniel Gerson/Andrew Stanton
258,Drama,28598000,Nicolas Cage/Michael K. Williams,Martin Scorsese,Scott Rudin,1999-10-22,Bringing Out the Dead,
259,Adventure,70823500,Ewen Bremner/Nicholas Hoult/Ewan McGregor/Stanley Tucci,Bryan Singer,Jon Jashni/Neal H. Moritz,2013-03-01,Jack the Giant Slayer,Darren Lemke/Christopher McQuarrie
260,Family Comedy,95979100,Miley Cyrus,Peter Chelsom,,2009-04-10,Hannah Montana The Movie,
261,Thriller,40813700,Mark Wahlberg/Reese Witherspoon,James Foley,Brian Grazer,1996-04-12,Fear,
262,Animation,259431500,Emma Thompson,Mark Andrews/Brenda Chapman,Pete Docter/John Lasseter/Andrew Stanton,2012-06-22,Brave,Mark Andrews/Brenda Chapman/Irene Mecchi/Steve Purcell
263,Fantasy Drama,74220000,Tobey Maguire/Reese Witherspoon/Joan Allen/William H. Macy,Gary Ross,Robin Bissell/Michael De Luca/Jon Kilik/Mary Parent/Steven Soderbergh,1998-10-23,Pleasantville,Gary Ross
264,Thriller,87162400,Dennis Quaid/Forest Whitaker/Sigourney Weaver/Zoe Saldana/William Hurt,Pete Travis,Neal H. Moritz,2008-02-22,Vantage Point,Barry Levy
265,Action Comedy,77209100,Chris Tucker/Charlie Sheen,Brett Ratner,Jay Stern,1997-08-22,Money Talks,Joel Cohen/Alec Sokolow
266,Horror Thriller,44980200,Samuel L. Jackson/Taylor Kitsch,David R. Ellis,,2006-08-18,Snakes on a Plane,
267,Action / Adventure,192700500,Chris Evans/Hugo Weaving/Stanley Tucci/Tommy Lee Jones/Dominic Cooper/Sebastian Stan/Derek Luke,Joe Johnston,Louis D'Esposito/Kevin Feige/Alan Fine/Nigel Gostelow/Joe Johnston/Stan Lee/David Maisel,2011-07-22,Captain America: The First Avenger,Christopher Markus/Stephen McFeely
268,Sci-Fi Adventure,97820100,Don Cheadle/Tim Robbins,Brian De Palma,Sam Mercer,2000-03-10,Mission to Mars,
269,Comedy,6049200,Alyson Michalka/Vanessa Hudgens/Lisa Kudrow,Todd Graff,Ron Schmidt,2009-08-14,Bandslam,Josh A. Cagan/Todd Graff
270,Action Comedy,201099100,Cameron Diaz/Drew Barrymore/Lucy Liu/Bill Murray/Sam Rockwell,McG,,2000-11-03,Charlie's Angels,John August/Ed Solomon
271,Thriller,39104300,Clint Eastwood,Clint Eastwood,Clint Eastwood/Robert Lorenz,2002-08-09,Blood Work,Brian Helgeland
272,Comedy,34877200,"Holly Hunter/Robert Downey, Jr./Anne Bancroft/Claire Danes",Jodie Foster,,1995-11-03,Home for the Holidays,
273,Period Drama,16810000,Colin Farrell/Christopher Plummer/Christian Bale,Terrence Malick,,2005-12-25,The New World,
274,Comedy / Drama,19647700,Kevin Costner/Kelsey Grammer/Paula Patton/Stanley Tucci,Joshua Michael Stern,Jim Wilson,2008-08-01,Swing Vote,Joshua Michael Stern
275,Action / Adventure,136085200,Sofia Boutella/Colin Firth/Samuel L. Jackson/Michael Caine/Taron Egerton/Mark Strong/Sophie Cookson/Mark Hamill,Matthew Vaughn,Matthew Vaughn,2015-02-13,Kingsman: The Secret Service,Jane Goldman/Matthew Vaughn
276,Crime Comedy,1097300,Owen Wilson/Luke Wilson,Wes Anderson,Richard Sakai,1996-02-21,Bottle Rocket,Wes Anderson
277,Animation,120069400,Ty Burrell/Stanley Tucci,Rob Minkoff,Jason Clark/Eric Ellenbogen/Denise Nolan Cascino/Alex Schwartz/Tiffany Ward,2014-03-07,Mr. Peabody & Sherman,Craig Wright
278,Drama,2087900,Renee Zellweger,Boaz Yakin,Lawrence Bender,1998-03-27,A Price Above Rubies,Boaz Yakin
279,Period Drama,70782200,Johnny Depp/Kate Winslet/Radha Mitchell/Dustin Hoffman/Freddie Highmore,Marc Forster,,2004-11-12,Finding Neverland,David Magee
280,Romantic Thriller,65339700,Sarah Michelle Gellar/Ryan Phillippe/Reese Witherspoon,Roger Kumble,Neal H. Moritz,1999-03-05,Cruel Intentions,
281,Romantic Comedy,105813100,Harrison Ford/Greg Kinnear,Sydney Pollack,Sydney Pollack/Scott Rudin,1995-12-15,Sabrina,
282,Comedy,12555500,Jason Bateman/Ben Affleck/Mila Kunis/Kristen Wiig,Mike Judge,Tom Lassally,2009-09-04,Extract,Mike Judge
283,Drama,2108700,Guy Pearce/Hayden Christensen/Mary Elizabeth Winstead,George Hickenlooper,,2006-12-29,Factory Girl,
284,Drama,357000,Naomie Harris,Justin Chadwick,,2011-05-13,The First Grader,
285,Action / Adventure,601737900,Tobey Maguire/Willem Dafoe/Kirsten Dunst/James Franco,Sam Raimi,Ian Bryce/Stan Lee/Laura Ziskin/Avi Arad,2002-05-03,Spider-Man,David Koepp
286,Drama,23971500,Kevin Kline/Hayden Christensen/Jena Malone,Irwin Winkler,Rob Cowan/Michael De Luca/Irwin Winkler,2001-10-26,Life as a House,
287,Horror Comedy,86019900,Woody Harrelson/Jesse Eisenberg/Emma Stone/Abigail Breslin,Ruben Fleischer,Ryan Kavanaugh/Gavin Polone/Rhett Reese/Paul Wernick,2009-10-02,Zombieland,Rhett Reese/Paul Wernick
288,Horror,11194700,Snoop Dogg,Ernest R. Dickerson,,2001-10-26,Bones,
289,Animation,57898600,Woody Harrelson/Owen Wilson/Dan Fogler,Jimmy Hayward,Craig Mazin,2013-11-01,Free Birds,Jimmy Hayward
290,Romantic Comedy,80607200,Ashton Kutcher/Brittany Murphy,Shawn Levy,Lauren Schuler Donner/Robert Simonds,2003-01-10,Just Married,Sam Harper
291,Crime Thriller,22582800,Jennifer Connelly/John Malkovich,Lee Tamahori,Mario Iscovich*,1996-04-26,Mulholland Falls,
292,Drama,8286900,Matt Damon/John Krasinski/Frances McDormand/Rosemarie DeWitt,Gus Van Sant,Jeff Skoll,2012-12-28,Promised Land,Matt Damon/John Krasinski
293,Action Drama,126650600,Pierce Brosnan/Linda Hamilton/Grant Heslov,Roger Donaldson,Gale Anne Hurd,1997-02-07,Dante's Peak,Leslie Bohem
294,Action Drama,27914100,Robert Redford/James Gandolfini/Mark Ruffalo,Rod Lurie,,2001-10-19,The Last Castle,
295,Comedy,96200,Tim Allen/Sigourney Weaver,Tim Allen,,2010-01-08,Crazy on the Outside,
296,Comedy,187972200,Arnold Schwarzenegger,Ivan Reitman,Brian Grazer/Joe Medjuck/Ivan Reitman,1990-12-22,Kindergarten Cop,
297,Drama,43900,Kevin Bacon/Marisa Tomei/Matt Dillon,Kevin Bacon,,2006-06-16,Loverboy,Hannah Shakespeare
298,Crime Drama,84424100,Robert DeNiro/Sharon Stone,Martin Scorsese,,1995-11-22,Casino,
299,Drama,24748900,Adam Sandler/Don Cheadle/Jada Pinkett-Smith/Liv Tyler,Mike Binder,Jack Giarraputo,2007-03-23,Reign Over Me,Mike Binder
300,Animation,322711200,Owen Wilson/Paul Newman/Bonnie Hunt/Larry the Cable Guy,John Lasseter,Darla K. Anderson,2006-06-09,Cars,Dan Fogelman/John Lasseter
301,Crime Drama,490000,"Helen Mirren/Cuba Gooding, Jr./Mo'Nique/Joseph Gordon-Levitt",Lee Daniels,Lee Daniels/Tucker Tooley,2006-07-21,Shadowboxer,
302,Drama,1730000,Jack Nicholson/Robin Wright,Sean Penn,,1995-11-17,The Crossing Guard,
303,Thriller,104564200,Gerard Butler/Aaron Eckhart/Morgan Freeman/Angela Bassett/Ashley Judd/Melissa Leo/Radha Mitchell,Antoine Fuqua,Peter Schlessel,2013-03-22,Olympus Has Fallen,Katrin Benedikt/Creighton Rothenberger
304,Horror,125549800,Samuel L. Jackson/Thomas Jane/Stellan Skarsgard,Renny Harlin,Akiva Goldsman,1999-07-30,Deep Blue Sea,
305,Action / Adventure,166052600,Ioan Gruffudd/Jessica Alba/Chris Evans,Tim Story,Avi Arad/Chris Columbus/Bernd Eichinger/Kevin Feige/Stan Lee/Ralph Winter,2007-06-15,Fantastic Four: Rise of the Silver Surfer,Don Payne
306,Musical,57290900,Julianne Hough/Dennis Quaid/Miles Teller/Kenny Wormald,Craig Brewer,Gary Barber/Roger Birnbaum/Jonathan Glickman/Neil Meron/Craig Zadan,2011-10-14,Footloose,Craig Brewer
307,Thriller,105950400,Denzel Washington/Chloe Moretz/Melissa Leo,Antoine Fuqua,Todd Black/Jason Blumenthal/Tony Eldridge/Steve Tisch/Denzel Washington/Richard Wenk,2014-09-26,The Equalizer,Richard Wenk
308,Action Drama,56395100,Liam Neeson/Frank Grillo,Joe Carnahan,Joe Carnahan/Ridley Scott/Tony Scott,2012-01-27,The Grey,Joe Carnahan/Ian Mackenzie Jeffers
309,Comedy,50020800,Tony Cox/Kal Penn/Jennifer Coolidge,Jason Friedberg/Aaron Seltzer,Jason Friedberg/Arnon Milchan/Aaron Seltzer,2007-01-26,Epic Movie,Jason Friedberg/Aaron Seltzer
310,Drama,5773400,Jared Leto/Jennifer Connelly/Marlon Wayans,Darren Aronofsky,Beau Flynn/Jonah Smith/Nick Wechsler,2000-10-06,Requiem for a Dream,Darren Aronofsky
311,Comedy,10134500,Josh Zuckerman/Amanda Crew/Clark Duke/James Marsden,Sean Anders,,2008-10-17,Sex Drive,Sean Anders
312,Period Comedy,12498000,Colin Firth/Reese Witherspoon/Judi Dench/Tom Wilkinson,Oliver Parker,,2002-05-17,The Importance of Being Earnest,Oliver Parker
313,Drama,5261100,Frances McDormand/Christian Bale/Kate Beckinsale,Lisa Cholodenko,,2003-03-07,Laurel Canyon,Lisa Cholodenko
314,Comedy,69719700,Zachary Gordon/Chloe Moretz,Thor Freudenthal,Nina Jacobson,2010-03-19,Diary of a Wimpy Kid,
315,Comedy,36220200,Bella Thorne,Ari Sandel,McG,2015-02-20,The DUFF,Josh A. Cagan
316,Animation,19047900,Freddie Highmore,Luc Besson,,2006-12-29,Arthur and the Invisibles,
